modelKey,tireLabel,rimWidth_in,lateralGrade,longitudinalGrade,aligningGrade,combinedGrade,overallGrade,trendReady,simulationReady,lateralRmsePeakPct,longitudinalRmsePeakPct,aligningRmsePeakPct,corneringRows,driveBrakeRows,pureLongitudinalRows,corneringSteadyFraction,driveBrakeSteadyFraction,recommendation
Goodyear18_0X6_5_10EagleRacingSpecial_rim6in,"Goodyear 18.0X6.5-10 Eagle Racing Special",6,A,A,B,C,B,1,1,5.0596681767749,8.3338568515817,12.2355688486922,5649,5883,2049,0.99384236453202,0.7844,usable as a lap-sim seed; verify against vehicle data before final decisions
Goodyear18_0X6_5_10EagleRacingSpecial_rim7in,"Goodyear 18.0X6.5-10 Eagle Racing Special",7,A,A,B,C,B,1,1,4.3518800853751,7.52846458390746,13.4524912027293,5680,5873,2059,0.999296270232231,0.783066666666667,usable as a lap-sim seed; verify against vehicle data before final decisions
Goodyear20_0X7_0_13EagleSportsCarSpecial_rim7in,"Goodyear 20.0X7.0-13 Eagle Sports Car Special",7,A,A,A,C,A,1,1,4.78504430033967,6.64492984389432,9.26773696998366,5658,5889,1976,0.9954257565095,0.7852,usable as a lap-sim seed; verify against vehicle data before final decisions
Goodyear20_0X7_0_13EagleSportsCarSpecial_rim8in,"Goodyear 20.0X7.0-13 Eagle Sports Car Special",8,A,A,A,C,A,1,1,3.20407970037884,7.22752073909412,8.47032416927766,5618,5882,1958,0.986825926576497,0.784266666666667,usable as a lap-sim seed; verify against vehicle data before final decisions
Hoosier16_0X6_0_10R20_C2000_rim6in,"Hoosier 16.0X6.0-10 R20, C2000",6,A,Unavailable,B,Unavailable,B,1,0,4.02288982185766,NaN,13.0337137063653,5666,0,0,0.996833216045039,0,partial model: lateral and MZ only; no longitudinal data for this tire/rim
Hoosier16_0X6_0_10R20_C2000_rim7in,"Hoosier 16.0X6.0-10 R20, C2000",7,A,Unavailable,B,Unavailable,B,1,0,3.19846666546578,NaN,14.9856417109694,5662,0,0,0.996129486277269,0,partial model: lateral and MZ only; no longitudinal data for this tire/rim
Hoosier16_0X7_5_10R20_C2000_rim7in,"Hoosier 16.0X7.5-10 R20, C2000",7,A,Unavailable,B,Unavailable,B,1,0,3.91693892187917,NaN,13.2659763261988,7343,0,0,0.897238514173998,0,partial model: lateral and MZ only; no longitudinal data for this tire/rim
Hoosier16_0X7_5_10R20_C2000_rim8in,"Hoosier 16.0X7.5-10 R20, C2000",8,A,Unavailable,B,Unavailable,B,1,0,3.27113568326603,NaN,13.1872267149951,5671,0,0,0.99771287825475,0,partial model: lateral and MZ only; no longitudinal data for this tire/rim
Hoosier18_0X6_0_10R20_rim6in,"Hoosier 18.0X6.0-10 R20",6,A,A,B,C,B,1,1,4.75953096935237,7.67203858947759,12.4179079669382,5672,5884,2071,0.997888810696692,0.784533333333333,usable as a lap-sim seed; verify against vehicle data before final decisions
Hoosier18_0X6_0_10R20_rim7in,"Hoosier 18.0X6.0-10 R20",7,A,A,B,C,B,1,1,4.13717367489197,7.28437736577032,12.1417184267758,5681,5884,2085,0.999472202674173,0.784533333333333,usable as a lap-sim seed; verify against vehicle data before final decisions
Hoosier20_5X7_0_13R20_rim7in,"Hoosier 20.5X7.0-13 R20",7,A,A,B,C,B,1,1,3.97246544644137,5.72327564779005,11.796130738829,5671,5890,1906,0.997186565851943,0.785333333333333,usable as a lap-sim seed; verify against vehicle data before final decisions
Hoosier20_5X7_0_13R20_rim8in,"Hoosier 20.5X7.0-13 R20",8,A,A,B,C,B,1,1,3.48500570780011,5.79653467605008,11.6354341525356,5652,5870,1912,0.994370161857847,0.782666666666667,usable as a lap-sim seed; verify against vehicle data before final decisions
MRF18_0X6_0_10ZTD1_rim6in,"MRF 18.0X6.0-10 ZTD1",6,A,A,C,C,C,1,1,4.82850289005311,7.10273291102237,15.4392276394989,5631,5883,2085,0.990675580577058,0.7844,usable as a lap-sim seed; verify against vehicle data before final decisions
MRF18_0X6_0_10ZTD1_rim7in,"MRF 18.0X6.0-10 ZTD1",7,A,A,C,C,C,1,1,4.29608499873995,7.73687211304966,18.0122472409331,5638,5884,2084,0.991907107670654,0.784533333333333,usable as a lap-sim seed; verify against vehicle data before final decisions
